LSOA11CD,LSOAarea,SUM_service_area,LSOAname,population,per_capita_SA,per_square_meter_SA,location_quotient,Shape_Length,Shape_Area,pop_density
E01009073,188328.8125,271428.4753,Birmingham 085A,1762,154.0456696,1.441247702,0.519294798,3050.948568,188328.8109,9356
E01009074,197132.5,226212.9581,Birmingham 085B,1743,129.7836761,1.147517323,0.437506557,2609.068313,197132.4979,8842
E01009075,195275.9063,248706.9964,Birmingham 087C,1848,134.5817108,1.27361846,0.453680933,3131.201988,195275.9007,9464
E01009077,377697.7813,575529.1527,Birmingham 095C,1821,316.0511475,1.523782134,1.065422535,4757.310374,377697.787,4821
E01009078,300542.4063,484862.3012,Birmingham 087E,1614,300.4103394,1.613290787,1.012696624,4118.09557,300542.4177,5370
E01009079,307848.7813,313666.9038,Birmingham 038A,1664,188.5017395,1.018899322,0.6354478,4332.885505,307848.7714,5405
E01009080,268071.3438,297889.3336,Birmingham 038B,1188,250.7485962,1.111231565,0.8452847,3458.398328,268071.3317,4432
E01009081,151355.5938,151355.5878,Birmingham 038C,1315,115.0993042,0.99999994,0.388004869,2477.614161,151355.5878,8688
E01009082,474193.0938,480126.0746,Birmingham 044A,1487,322.8823547,1.01251173,1.088450789,3965.593825,474193.1006,3136
E01009083,221213.4375,221213.4309,Birmingham 038D,1543,143.365799,0.99999994,0.48329249,3276.811704,221213.4309,6975
E01009084,254371.8594,254371.8653,Birmingham 042A,1871,135.9550323,1,0.458310455,3909.754762,254371.8653,7355
E01009085,307467.4688,315482.4678,Birmingham 042B,2135,147.7669678,1.026067853,0.49812901,4563.036801,307467.4747,6944
E01009086,344062.6563,546364.3337,Birmingham 044B,1969,277.4831543,1.587979198,0.935408056,2806.04945,344062.6498,5723
E01009087,305389.25,305389.2385,Birmingham 042C,1563,195.3865814,0.99999994,0.658656895,3879.5149,305389.2385,5118
E01009088,283801,283801.0032,Birmingham 045A,1659,171.0675049,1,0.57667619,3368.680235,283801.0032,5846
E01009089,358553.4375,383565.4357,Birmingham 042D,1633,234.8839111,1.069758058,0.791804135,3359.833565,358553.4453,4554
E01009090,546241.5,765493.8239,Birmingham 042E,1944,393.7725525,1.401383519,1.327424765,5469.568905,546241.4705,3559
E01009091,457101.375,457101.379,Birmingham 045B,1590,287.4851379,1,0.969125211,3713.715635,457101.379,3478
E01009092,198900.8594,198900.8646,Birmingham 054A,1775,112.0568237,1,0.377748549,2965.464577,198900.8646,8924
E01009093,240965.3438,242688.5105,Birmingham 054B,1677,144.7158661,1.007151127,0.487843633,2682.632086,240965.3411,6960
E01009094,219509.2188,309469.8969,Birmingham 054C,1506,205.4913025,1.409826398,0.692720294,2343.039471,219509.2173,6861
E01009095,497324.0625,513855.6029,Birmingham 056A,1782,288.3589172,1.033241034,0.972070754,4063.314061,497324.0704,3583
E01009096,406023.6563,794627.2418,Birmingham 029A,1648,482.1767273,1.957095981,1.625439167,4143.885944,406023.6575,4059
E01009097,769482.1875,712603.4424,Birmingham 029B,2021,352.5994263,0.926081777,1.188628316,6231.190475,769482.1741,2626
E01009098,508873.2188,1017746.439,Birmingham 025C,2119,480.2956238,2,1.619097948,5663.516782,508873.2195,4164
E01009099,255363.2031,481408.2611,Birmingham 029C,1834,262.4908752,1.885190368,0.884868443,3323.41163,255363.2004,7182
E01009100,668904.125,1158154.385,Birmingham 025D,2047,565.781311,1.731420636,1.907274008,8264.529985,668904.1355,3060
E01009101,1169031.125,1470334.061,Birmingham 029D,1626,904.2644653,1.257737279,3.048315763,8924.94133,1169031.097,1391
E01009102,1910963.375,2694060.67,Birmingham 028D,1492,1805.670654,1.409791946,6.086996078,7795.425304,1910963.349,781
E01009103,264363.1563,404574.0363,Birmingham 029E,1526,265.1206055,1.530372262,0.893733323,4562.649522,264363.1439,5772
E01009104,266420.3125,364001.6748,Birmingham 028E,1658,219.5426331,1.366268516,0.740087986,2387.510982,266420.3049,6223
E01009105,516598.875,1102250.867,Birmingham 025E,1545,713.4309692,2.133668661,2.405007601,3917.470587,516598.8827,2991
